,FlightDate,Airport,Origin_AirTraffic_count,Dest_AirTraffic_count,Total_AirTraffic_count,Date,Holiday
625,2019-09-18,DTW,479,476,955,,
626,2019-09-19,DTW,489,491,980,,
627,2019-09-20,DTW,494,493,987,,
628,2019-09-21,DTW,335,336,671,,
629,2019-09-22,DTW,458,461,919,,
630,2019-09-23,DTW,494,491,985,,
631,2019-09-24,DTW,475,477,952,,
632,2019-09-25,DTW,480,477,957,,
633,2019-09-26,DTW,489,491,980,,
634,2019-09-27,DTW,493,493,986,,
635,2019-09-28,DTW,336,337,673,,
636,2019-09-29,DTW,457,458,915,,
637,2019-09-30,DTW,494,490,984,,
638,2019-10-01,DTW,477,480,957,,
639,2019-10-02,DTW,483,481,964,,
640,2019-10-03,DTW,493,495,988,,
641,2019-10-04,DTW,496,496,992,,
642,2019-10-05,DTW,342,344,686,,
643,2019-10-06,DTW,463,463,926,,
644,2019-10-07,DTW,498,493,991,,
645,2019-10-08,DTW,479,480,959,,
646,2019-10-09,DTW,483,481,964,,
647,2019-10-10,DTW,493,494,987,,
648,2019-10-11,DTW,496,496,992,,
649,2019-10-12,DTW,342,344,686,,
650,2019-10-13,DTW,463,464,927,,
651,2019-10-14,DTW,499,494,993,2019-10-14,Columbus Day
652,2019-10-15,DTW,479,481,960,,
653,2019-10-16,DTW,484,482,966,,
654,2019-10-17,DTW,492,494,986,,
655,2019-10-18,DTW,495,495,990,,
656,2019-10-19,DTW,340,342,682,,
657,2019-10-20,DTW,463,464,927,,
658,2019-10-21,DTW,498,493,991,,
659,2019-10-22,DTW,480,481,961,,
660,2019-10-23,DTW,484,482,966,,
661,2019-10-24,DTW,492,494,986,,
662,2019-10-25,DTW,496,496,992,,
663,2019-10-26,DTW,323,326,649,,
664,2019-10-27,DTW,417,418,835,,
665,2019-10-28,DTW,429,429,858,,
666,2019-10-29,DTW,413,416,829,,
667,2019-10-30,DTW,419,416,835,,
668,2019-10-31,DTW,372,372,744,,
669,2019-11-01,DTW,399,396,795,,
670,2019-11-02,DTW,320,322,642,,
671,2019-11-03,DTW,435,435,870,,
672,2019-11-04,DTW,493,489,982,,
673,2019-11-05,DTW,436,439,875,,
674,2019-11-06,DTW,460,456,916,,
675,2019-11-07,DTW,499,500,999,,
676,2019-11-08,DTW,503,503,1006,,
677,2019-11-09,DTW,337,338,675,,
678,2019-11-10,DTW,465,467,932,,
679,2019-11-11,DTW,507,503,1010,2019-11-11,Veterans Day
680,2019-11-12,DTW,485,485,970,,
681,2019-11-13,DTW,492,493,985,,
682,2019-11-14,DTW,503,501,1004,,
683,2019-11-15,DTW,505,506,1011,,
684,2019-11-16,DTW,339,340,679,,
685,2019-11-17,DTW,467,469,936,,
686,2019-11-18,DTW,507,503,1010,,
687,2019-11-19,DTW,495,494,989,,
688,2019-11-20,DTW,496,496,992,,
689,2019-11-21,DTW,499,501,1000,,
690,2019-11-22,DTW,504,504,1008,,
691,2019-11-23,DTW,333,335,668,,
692,2019-11-24,DTW,414,413,827,,
693,2019-11-25,DTW,423,425,848,,
694,2019-11-26,DTW,455,451,906,,
695,2019-11-27,DTW,488,488,976,2019-11-27,Thanksgiving Eve
696,2019-11-28,DTW,242,247,489,2019-11-28,Thanksgiving Day
697,2019-11-29,DTW,305,302,607,2019-11-29,Black Friday
698,2019-11-30,DTW,484,480,964,,
699,2019-12-01,DTW,520,521,1041,,
700,2019-12-02,DTW,503,507,1010,,
701,2019-12-03,DTW,469,470,939,,
702,2019-12-04,DTW,469,468,937,,
703,2019-12-05,DTW,487,487,974,,
704,2019-12-06,DTW,487,488,975,,
705,2019-12-07,DTW,323,322,645,,
706,2019-12-08,DTW,440,440,880,,
707,2019-12-09,DTW,484,482,966,,
708,2019-12-10,DTW,464,463,927,,
709,2019-12-11,DTW,467,470,937,,
710,2019-12-12,DTW,488,487,975,,
711,2019-12-13,DTW,490,489,979,,
712,2019-12-14,DTW,326,326,652,,
713,2019-12-15,DTW,442,442,884,,
714,2019-12-16,DTW,486,484,970,,
715,2019-12-17,DTW,466,465,931,,
716,2019-12-18,DTW,469,471,940,,
717,2019-12-19,DTW,480,480,960,,
718,2019-12-20,DTW,481,481,962,,
719,2019-12-21,DTW,410,410,820,,
720,2019-12-22,DTW,445,445,890,,
721,2019-12-23,DTW,453,453,906,,
722,2019-12-24,DTW,313,314,627,2019-12-24,Christmas Eve
723,2019-12-25,DTW,304,303,607,2019-12-25,Christmas Day
724,2019-12-26,DTW,451,451,902,,
725,2019-12-27,DTW,453,453,906,,
726,2019-12-28,DTW,410,410,820,,
727,2019-12-29,DTW,446,447,893,,
728,2019-12-30,DTW,454,453,907,,
729,2019-12-31,DTW,313,315,628,2019-12-31,New Year's Eve
730,2020-01-01,DTW,114,119,233,,
731,2020-01-02,DTW,42,38,80,,
732,2020-01-03,DTW,44,45,89,,
733,2020-01-04,DTW,50,41,91,,
734,2020-01-05,DTW,42,37,79,,
735,2020-01-06,DTW,56,46,102,,
736,2020-01-07,DTW,33,34,67,,
737,2020-01-08,DTW,39,33,72,,
738,2020-01-09,DTW,39,41,80,,
739,2020-01-10,DTW,55,51,106,,
740,2020-01-11,DTW,45,35,80,,
741,2020-01-12,DTW,39,37,76,,
742,2020-01-13,DTW,38,35,73,,
743,2020-01-14,DTW,32,25,57,,
744,2020-01-15,DTW,35,30,65,,
745,2020-01-16,DTW,37,36,73,,
746,2020-01-17,DTW,52,42,94,,
747,2020-01-18,DTW,32,27,59,,
748,2020-01-19,DTW,36,35,71,,
749,2020-01-20,DTW,38,41,79,,
750,2020-01-21,DTW,32,25,57,,
751,2020-01-22,DTW,35,30,65,,
752,2020-01-23,DTW,37,34,71,,
753,2020-01-24,DTW,39,35,74,,
754,2020-01-25,DTW,31,27,58,,
755,2020-01-26,DTW,36,34,70,,
756,2020-01-27,DTW,38,35,73,,
757,2020-01-28,DTW,32,25,57,,
758,2020-01-29,DTW,35,30,65,,
759,2020-01-30,DTW,37,36,73,,
760,2020-01-31,DTW,52,48,100,,
