,FlightDate,Airport,Origin_AirTraffic_count,Dest_AirTraffic_count,Total_AirTraffic_count,Date,Holiday
145,2018-05-26,DTW,307,306,613,,
146,2018-05-27,DTW,302,304,606,,
147,2018-05-28,DTW,447,444,891,2018-05-28,Memorial Day
148,2018-05-29,DTW,467,468,935,,
149,2018-05-30,DTW,472,472,944,,
150,2018-05-31,DTW,477,477,954,,
151,2018-06-01,DTW,469,470,939,,
152,2018-06-02,DTW,318,317,635,,
153,2018-06-03,DTW,438,439,877,,
154,2018-06-04,DTW,474,472,946,,
155,2018-06-05,DTW,458,458,916,,
156,2018-06-06,DTW,461,463,924,,
157,2018-06-07,DTW,470,472,942,,
158,2018-06-08,DTW,482,478,960,,
159,2018-06-09,DTW,348,350,698,,
160,2018-06-10,DTW,458,457,915,,
161,2018-06-11,DTW,490,490,980,,
162,2018-06-12,DTW,475,476,951,,
163,2018-06-13,DTW,480,479,959,,
164,2018-06-14,DTW,487,487,974,,
165,2018-06-15,DTW,491,490,981,,
166,2018-06-16,DTW,350,352,702,,
167,2018-06-17,DTW,461,459,920,,
168,2018-06-18,DTW,493,493,986,,
169,2018-06-19,DTW,484,485,969,2018-06-19,Juneteenth
170,2018-06-20,DTW,489,488,977,,
171,2018-06-21,DTW,489,489,978,,
172,2018-06-22,DTW,492,491,983,,
173,2018-06-23,DTW,349,351,700,,
174,2018-06-24,DTW,460,459,919,,
175,2018-06-25,DTW,493,493,986,,
176,2018-06-26,DTW,483,484,967,,
177,2018-06-27,DTW,489,488,977,,
178,2018-06-28,DTW,489,489,978,,
179,2018-06-29,DTW,492,491,983,,
180,2018-06-30,DTW,375,383,758,,
181,2018-07-01,DTW,370,374,744,,
182,2018-07-02,DTW,368,367,735,,
183,2018-07-03,DTW,350,349,699,,
184,2018-07-04,DTW,330,334,664,2018-07-04,4th of July
185,2018-07-05,DTW,385,379,764,,
186,2018-07-06,DTW,398,392,790,,
187,2018-07-07,DTW,356,355,711,,
188,2018-07-08,DTW,466,464,930,,
189,2018-07-09,DTW,491,491,982,,
190,2018-07-10,DTW,480,480,960,,
191,2018-07-11,DTW,485,485,970,,
192,2018-07-12,DTW,492,492,984,,
193,2018-07-13,DTW,493,493,986,,
194,2018-07-14,DTW,339,341,680,,
195,2018-07-15,DTW,463,461,924,,
196,2018-07-16,DTW,491,491,982,,
197,2018-07-17,DTW,480,480,960,,
198,2018-07-18,DTW,485,485,970,,
199,2018-07-19,DTW,492,492,984,,
200,2018-07-20,DTW,493,493,986,,
201,2018-07-21,DTW,340,342,682,,
202,2018-07-22,DTW,462,461,923,,
203,2018-07-23,DTW,491,491,982,,
